id;description;amount;status;t_created
1;Chicken;77709;DISPUTED;2021-06-10T23:11:18
2;Ghana;59636;PENDING;2021-06-10T21:05:58
3;Flats;33116;CANCELED;2021-06-11T08:10:57
4;Loan asynchronous;21999;DISPUTED;2021-06-10T18:47:15
5;Stravenue;53949;PENDING;2021-06-11T06:02:42
6;Pants Isle Incredible;35651;DISPUTED;2021-06-11T15:52:02
7;Integration;21661;DISPUTED;2021-06-10T18:40:04
8;National;51656;CANCELED;2021-06-11T10:00:42
9;firewall teal;34101;PENDING;2021-06-11T04:02:50
10;strategic;14213;COMPLETED;2021-06-10T21:46:10
