id;description;c_created;severity;status
1;synthesizing;2021-06-10T21:23:39;LOW;CLOSE
2;background Guinea;2021-06-11T01:01:55;HIGH;INPROGRESS
3;orange web-enabled;2021-06-11T02:36:09;LOW;INPROGRESS
4;uniform virtual input;2021-06-11T13:45:41;MEDIUM;OPEN
5;concept;2021-06-11T15:52:03;HIGH;INPROGRESS
6;Ngultrum synergize Towels;2021-06-11T06:03:09;HIGH;CLOSE
7;Buckinghamshire Incredible;2021-06-11T01:46:40;MEDIUM;INPROGRESS
8;Chicken;2021-06-10T21:31:51;LOW;OPEN
9;Fresh quantifying Savings;2021-06-11T05:15:22;LOW;CLOSE
10;Green SCSI overriding;2021-06-11T04:30:31;HIGH;INPROGRESS
