id;description;amount;status;t_created
1;Chicken;77709;DISPUTED;2021-06-10T22:32:43
2;Ghana;59636;PENDING;2021-06-10T20:27:23
3;Flats;33116;CANCELED;2021-06-11T07:32:22
4;Loan asynchronous;21999;DISPUTED;2021-06-10T18:08:40
5;Stravenue;53949;PENDING;2021-06-11T05:24:07
6;Pants Isle Incredible;35651;DISPUTED;2021-06-11T15:13:27
7;Integration;21661;DISPUTED;2021-06-10T18:01:29
8;National;51656;CANCELED;2021-06-11T09:22:07
9;firewall teal;34101;PENDING;2021-06-11T03:24:15
10;strategic;14213;COMPLETED;2021-06-10T21:07:35
