id;description;c_created;severity;status
1;synthesizing;2021-06-10T22:02:14;LOW;CLOSE
2;background Guinea;2021-06-11T01:40:30;HIGH;INPROGRESS
3;orange web-enabled;2021-06-11T03:14:44;LOW;INPROGRESS
4;uniform virtual input;2021-06-11T14:24:16;MEDIUM;OPEN
5;concept;2021-06-11T16:30:38;HIGH;INPROGRESS
6;Ngultrum synergize Towels;2021-06-11T06:41:44;HIGH;CLOSE
7;Buckinghamshire Incredible;2021-06-11T02:25:15;MEDIUM;INPROGRESS
8;Chicken;2021-06-10T22:10:26;LOW;OPEN
9;Fresh quantifying Savings;2021-06-11T05:53:57;LOW;CLOSE
10;Green SCSI overriding;2021-06-11T05:09:06;HIGH;INPROGRESS
